CONTROL_NUMBER,survey_question,survey_value
00009603,causes donated to last year,3
00009605,causes donated to last year,0
00009610,causes donated to last year,3
00009611,causes donated to last year,1
00009634,causes donated to last year,2
00009641,causes donated to last year,5
00009644,causes donated to last year,1
00009650,causes donated to last year,3
00009672,causes donated to last year,2
00009677,causes donated to last year,4
00009714,causes donated to last year,2
00009727,causes donated to last year,4
00009736,causes donated to last year,2
00009742,causes donated to last year,5
00009749,causes donated to last year,5
00009759,causes donated to last year,2
00009770,causes donated to last year,3
00009771,causes donated to last year,1
00009780,causes donated to last year,4
00009784,causes donated to last year,2
00009793,causes donated to last year,5
00009816,causes donated to last year,2
00009826,causes donated to last year,1
00009830,causes donated to last year,5
00009851,causes donated to last year,5
00009855,causes donated to last year,4
00009866,causes donated to last year,0
00009874,causes donated to last year,0
00009876,causes donated to last year,3
00009877,causes donated to last year,4
00009910,causes donated to last year,5
00009912,causes donated to last year,2
00009919,causes donated to last year,1
00009923,causes donated to last year,1
00009938,causes donated to last year,4
00009942,causes donated to last year,4
00009945,causes donated to last year,4
00009946,causes donated to last year,1
00009947,causes donated to last year,1
00009973,causes donated to last year,0
00009976,causes donated to last year,3
00009988,causes donated to last year,4
00009990,causes donated to last year,1
00009991,causes donated to last year,0
00010001,causes donated to last year,4
00010007,causes donated to last year,2
00010010,causes donated to last year,4
00010018,causes donated to last year,0
00010028,causes donated to last year,5
00010031,causes donated to last year,0
00010036,causes donated to last year,4
00010038,causes donated to last year,2
00010047,causes donated to last year,2
00010064,causes donated to last year,5
00010067,causes donated to last year,4
00010092,causes donated to last year,0
00010104,causes donated to last year,4
00010125,causes donated to last year,1
00010127,causes donated to last year,2
00010129,causes donated to last year,2
00010145,causes donated to last year,0
00010151,causes donated to last year,3
00010158,causes donated to last year,4
00010160,causes donated to last year,0
00010162,causes donated to last year,1
00010189,causes donated to last year,3
00010196,causes donated to last year,3
00010204,causes donated to last year,4
00010211,causes donated to last year,5
00010227,causes donated to last year,0
00010247,causes donated to last year,2
00010248,causes donated to last year,0
00010259,causes donated to last year,3
00010260,causes donated to last year,2
00010266,causes donated to last year,0
00010285,causes donated to last year,5
00010287,causes donated to last year,5
00010294,causes donated to last year,3
00010304,causes donated to last year,4
00010317,causes donated to last year,1
00010319,causes donated to last year,1
00010347,causes donated to last year,3
00010365,causes donated to last year,2
00010366,causes donated to last year,2
00010367,causes donated to last year,4
00010384,causes donated to last year,4
00010398,causes donated to last year,2
00010399,causes donated to last year,4
00010418,causes donated to last year,2
00010420,causes donated to last year,2
00010421,causes donated to last year,4
00010434,causes donated to last year,1
00010454,causes donated to last year,2
00010455,causes donated to last year,1
00010467,causes donated to last year,3
00010484,causes donated to last year,2
00010489,causes donated to last year,4
00010490,causes donated to last year,4
00010491,causes donated to last year,5
00010502,causes donated to last year,3
00010513,causes donated to last year,2
00010520,causes donated to last year,5
00010527,causes donated to last year,1
00010545,causes donated to last year,3
00010549,causes donated to last year,3
00010553,causes donated to last year,1
00010554,causes donated to last year,3
00010556,causes donated to last year,2
00010563,causes donated to last year,0
00010564,causes donated to last year,4
00010565,causes donated to last year,3
00010570,causes donated to last year,5
00010580,causes donated to last year,5
00010586,causes donated to last year,1
00010587,causes donated to last year,5
00010594,causes donated to last year,5
00010606,causes donated to last year,1
00010614,causes donated to last year,5
00010619,causes donated to last year,2
00010631,causes donated to last year,3
00010632,causes donated to last year,1
00010635,causes donated to last year,2
00010649,causes donated to last year,1
00010662,causes donated to last year,5
00010666,causes donated to last year,2
00010696,causes donated to last year,0
00010703,causes donated to last year,2
00010709,causes donated to last year,1
